在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
主要包括建立养老服务综合监管制度等7项措施。二是拓展养老服务投融资渠道。	主要包括建立养老服务综合监管制度等七项措施。二是拓展养老服务投融资渠道。
主要包括建立健全长期照护服务体系等4项措施。	主要包括建立健全长期照护服务体系等四项措施。
五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等6项措施。	五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等六项措施。
虽然距离2019年中国国际进口博览会还有半年多，但目前已有1800多家企业报名参展。	虽然距离二零一九年中国国际进口博览会还有半年多，但目前已有一千八百多家企业报名参展。
主要包括实施特困人员供养、服务设施、敬老院改造提升工程等5项措施。	主要包括实施特困人员供养、服务设施、敬老院改造提升工程等五项措施。
2018年举办的首届进博会被打造成面向全球的开放型合作平台。	二零一八年举办的首届进博会被打造成面向全球的开放型合作平台。
这一年中国扩大进口额接近2万亿美元，在主动开放市场的同时。	这一年中国扩大进口额接近二万亿美元，在主动开放市场的同时。
中国也正在积极参与国际规则的制定。2018年中国出台扩大金融开放的11条措施。	中国也正在积极参与国际规则的制定。二零一八年中国出台扩大金融开放的十一条措施。
其中已签约企业数量超过900家，分别来自77个国家和地区。	其中已签约企业数量超过九百家，分别来自七十七个国家和地区。
公布最新版外商投资负面清单，清单长度由63条减至48条，中国4次降低关税。	公布最新版外商投资负面清单，清单长度由六十三条减至四十八条，中国四次降低关税。
一带一路倡议提出近6年来从主动开放市场参与规则制定到深度融入世界。	一带一路倡议提出近六年来从主动开放市场参与规则制定到深度融入世界。
其中有30多个共建一带一路国家。	其中有三十多个共建一带一路国家。
关税总水平从上一年的9.8%降至7.5%，全年新增外资企业6.9万家。	关税总水平从上一年的百分之九点八降至百分之七点五，全年新增外资企业六点九万家。
本台消息，国家主席习近平4月16号就法国巴黎圣母院发生火灾。	本台消息，国家主席习近平四月十六号就法国巴黎圣母院发生火灾。
与法国、德国、日本、新加坡等20多个发达国家和新兴经济体开展第三方市场合作。	与法国、德国、日本、新加坡等二十多个发达国家和新兴经济体开展第三方市场合作。
今年一季度，中国与共建一带一路国家外贸进出口总额达到2万亿美元，同比增长7.8%。	今年一季度，中国与共建一带一路国家外贸进出口总额达到二万亿美元，同比增长百分之七点八。
一大一路倡议提出近6年来，在全球贸易持续低迷的背景下。	一大一路倡议提出近六年来，在全球贸易持续低迷的背景下。
目前中国已与40多个共建一带一路国家建立了双边产能与投资合作机制。	目前中国已与四十多个共建一带一路国家建立了双边产能与投资合作机制。
一季度累计实现营业收入6.8万亿元，同比增长6.3%，有23家企业收入增幅超过20%。	一季度累计实现营业收入六点八万亿元，同比增长百分之六点三，有二十三家企业收入增幅超过百分之二十。
中国与共建一带一路国家货物贸易总额超过6万亿美元，呈持续增长态势。	中国与共建一带一路国家货物贸易总额超过六万亿美元，呈持续增长态势。
48家企业收入增幅超过11%季度央企累计实现利润总额4265亿元。	四十八家企业收入增幅超过百分之十一季度央企累计实现利润总额四千两百六十五亿元。
同比增长13.1%，有36家企业利润总额增幅超过20%。	同比增长百分之十三点一，有三十六家企业利润总额增幅超过百分之二十。
财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过5万亿元。	财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过五万亿元。
收入和支出同比分别增长6.2%和15%，其中税收收入增速明显放缓，同比增长5.4%。	收入和支出同比分别增长百分之六点二和百分之十五，其中税收收入增速明显放缓，同比增长百分之五点四。
回落了11.9个百分点。	回落了十一点九个百分点。
国内增值税同比增长10.7%，同比回落9.4个百分点。	国内增值税同比增长百分之十点七，同比回落九点四个百分点。
个人所得税同比下降29.7%，回落50.4个百分点。	个人所得税同比下降百分之二十九点七，回落五十点四个百分点。
目前11个试点城市均已实施药品集中采购和使用。	目前十一个试点城市均已实施药品集中采购和使用。
25个中选品种采购总金额为5.33亿元，约定采购量完成进度达27.31%。	二十五个中选品种采购总金额为五点三三亿元，约定采购量完成进度达百分之二十七点三一。
组成联盟，开展药品采购，集合11个城市公立医院的用量，实现量价挂钩，以量换价。	组成联盟，开展药品采购，集合十一个城市公立医院的用量，实现量价挂钩，以量换价。
已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒248元下降到17.36元。	已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒两百四十八元下降到十七点三六元。
河南郑州利用拆违拆旧，打造7000里绿道。	河南郑州利用拆违拆旧，打造七千里绿道。
很多人想象不到，就在两个多月前，这里还集中了60多家小散乱污企业，多个废品收购站。	很多人想象不到，就在两个多月前，这里还集中了六十多家小散乱污企业，多个废品收购站。
而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条50~120米宽的绿道。	而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条五十到一百二十米宽的绿道。
2012年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。	二零一二年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。
郑州生态廊道的植物品种应用已经达到了1000多种。	郑州生态廊道的植物品种应用已经达到了一千多种。
据鸟类动物学会统计，近几年郑州鸟类已经增加了20多种。	据鸟类动物学会统计，近几年郑州鸟类已经增加了二十多种。
串联起了市区146个公园和近2万公顷绿地。	串联起了市区一百四十六个公园和近二万公顷绿地。
目前郑州市绿道还有190个断点。	目前郑州市绿道还有一百九十个断点。
出生于1902年的贺光，20岁考入北洋军阀举办的洛阳讲武堂学习军事。	出生于一九零二年的贺光，二十岁考入北洋军阀举办的洛阳讲武堂学习军事。
这让国民党反动派惊恐不已。8月11号，带贺光前去改编诈降的国民党敌军时。	这让国民党反动派惊恐不已。八月十一号，带贺光前去改编诈降的国民党敌军时。
如今贺光家乡的人们正在按照2020年坚决打赢脱贫攻坚战的要求。	如今贺光家乡的人们正在按照二零二零年坚决打赢脱贫攻坚战的要求。
农业农村部今天发布2018年海峡两岸农产品贸易额已增至37.73亿美元。	农业农村部今天发布二零一八年海峡两岸农产品贸易额已增至三十七点七三亿美元。
相比2012年增长幅度超过60%。目前全国14个省区市共建立了29个。	相比二零一二年增长幅度超过百分之六十。目前全国十四个省区市共建立了二十九个。
早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅29岁。	早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅二十九岁。
